EntityReferenceResultForPersistAliaType,IsTop,FKTypeFullNameOnTheOtherSide,DefaultOrder,PropertyName_Origin_InThisType,NotInCriteria,NotInDataSourceEntity,IsLeftJoin,ChildEntityReferenceSimpleFullPath,EntityReferenceForeignKeyPath,EntityReferenceFullPath,EntityReferenceSimpleFullPath,IsJoinFromPKToFK,EntityReferenceName,FKPropertyName,FKTypeFullName,PKPropertyName,PKTypeFullName,KeyOfEntityReferenceResultCollectionGroup,KeyOfEntityReferenceResultCollectionGroupCollection,Key,Result
DownTree,False,,1,SolutionId,False,False,False,,\FK_Build_Solution,\MSBuildExtensionPack.Build.SolutionId,\SolutionId,False,t,SolutionId,FK_Build_Solution,Id,MSBuildExtensionPack.Solution,MSBuildExtensionPack.Build,MSBuildExtensionPack.Build,MSBuildExtensionPack.Build,Solution_1
DownTree,False,,2,SolutionId,False,False,False,\SolutionId,\FK_Build_Solution\FK_Solution_OrganizationId,\MSBuildExtensionPack.Build.SolutionId\MSBuildExtensionPack.Solution.OrganizationId,\SolutionId\OrganizationId,False,Solution_1,OrganizationId,FK_Solution_OrganizationId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Build,MSBuildExtensionPack.Build,MSBuildExtensionPack.Solution,Organization_1
DownTree,True,,3,SolutionId,False,False,False,\SolutionId\OrganizationId,\FK_Build_Solution\FK_Solution_OrganizationId\FK_Organization_ParentId,\MSBuildExtensionPack.Build.SolutionId\MSBuildExtensionPack.Solution.OrganizationId\MSBuildExtensionPack.Organization.ParentId,\SolutionId\OrganizationId\ParentId,False,Organization_1,ParentId,FK_Organization_ParentId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Build,MSBuildExtensionPack.Build,MSBuildExtensionPack.Organization,Organization_2
DownTree,False,,1,BuildId,False,False,False,,\FK_BuildLog_Build,\MSBuildExtensionPack.BuildLog.BuildId,\BuildId,False,t,BuildId,FK_BuildLog_Build,Id,MSBuildExtensionPack.Build,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,Build_1
DownTree,False,,2,BuildId,False,False,False,\BuildId,\FK_BuildLog_Build\FK_Build_Solution,\MSBuildExtensionPack.BuildLog.BuildId\MSBuildExtensionPack.Build.SolutionId,\BuildId\SolutionId,False,Build_1,SolutionId,FK_Build_Solution,Id,MSBuildExtensionPack.Solution,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.Build,Solution_1
DownTree,False,,3,BuildId,False,False,False,\BuildId\SolutionId,\FK_BuildLog_Build\FK_Build_Solution\FK_Solution_OrganizationId,\MSBuildExtensionPack.BuildLog.BuildId\MSBuildExtensionPack.Build.SolutionId\MSBuildExtensionPack.Solution.OrganizationId,\BuildId\SolutionId\OrganizationId,False,Solution_1,OrganizationId,FK_Solution_OrganizationId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.Solution,Organization_1
DownTree,True,,4,BuildId,False,False,False,\BuildId\SolutionId\OrganizationId,\FK_BuildLog_Build\FK_Build_Solution\FK_Solution_OrganizationId\FK_Organization_ParentId,\MSBuildExtensionPack.BuildLog.BuildId\MSBuildExtensionPack.Build.SolutionId\MSBuildExtensionPack.Solution.OrganizationId\MSBuildExtensionPack.Organization.ParentId,\BuildId\SolutionId\OrganizationId\ParentId,False,Organization_1,ParentId,FK_Organization_ParentId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.Organization,Organization_2
DownTree,True,,1,BuildEventCodeId,False,False,False,,\FK_BuildLog_BuildEventCode,\MSBuildExtensionPack.BuildLog.BuildEventCodeId,\BuildEventCodeId,False,t,BuildEventCodeId,FK_BuildLog_BuildEventCode,Id,MSBuildExtensionPack.BuildEventCode,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,MSBuildExtensionPack.BuildLog,BuildEventCode_1
DownTree,True,,1,ParentId,False,False,False,,\FK_Organization_ParentId,\MSBuildExtensionPack.Organization.ParentId,\ParentId,False,t,ParentId,FK_Organization_ParentId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Organization,Organization_2
DownTree,False,,1,OrganizationId,False,False,False,,\FK_Solution_OrganizationId,\MSBuildExtensionPack.Solution.OrganizationId,\OrganizationId,False,t,OrganizationId,FK_Solution_OrganizationId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Solution,MSBuildExtensionPack.Solution,MSBuildExtensionPack.Solution,Organization_1
DownTree,True,,2,OrganizationId,False,False,False,\OrganizationId,\FK_Solution_OrganizationId\FK_Organization_ParentId,\MSBuildExtensionPack.Solution.OrganizationId\MSBuildExtensionPack.Organization.ParentId,\OrganizationId\ParentId,False,Organization_1,ParentId,FK_Organization_ParentId,Id,MSBuildExtensionPack.Organization,MSBuildExtensionPack.Solution,MSBuildExtensionPack.Solution,MSBuildExtensionPack.Organization,Organization_2
